wall,t,timeScale,bladeGapFraction,heroHipX,heroHipY,heroHandX,heroHandY,heroTipX,heroTipY,foeHipX,foeHipY,foeHandX,foeHandY,foeTipX,foeTipY,heroShoulderX,heroShoulderY,heroElbowX,heroElbowY,heroHeadX,heroHeadY,heroStandX,foeStandX,heroArmWeight,heroBladeWeight
0.16667,0.16667,1.00000,0.520377,0.02176,0.96310,-0.11170,0.93828,0.22132,0.26181,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.18632,1.37392,-0.05138,1.19108,0.10502,1.59390,0.02176,1.55000,0.45442,0.00000
0.17500,0.17500,1.00000,0.536670,0.02479,0.96292,-0.12335,0.95246,0.19374,0.26839,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.19011,1.37352,-0.05713,1.20379,0.10882,1.59362,0.02479,1.55000,0.47524,0.00000
0.18333,0.18333,1.00000,0.552867,0.02801,0.96274,-0.13434,0.96746,0.16640,0.27604,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.19391,1.37326,-0.06215,1.21715,0.11241,1.59340,0.02801,1.55000,0.49639,0.00000
0.19167,0.19167,1.00000,0.569391,0.03138,0.96255,-0.14456,0.98305,0.13857,0.28424,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.19805,1.37289,-0.06608,1.23084,0.11651,1.59312,0.03138,1.55000,0.51774,0.00000
0.20000,0.20000,1.00000,0.585592,0.03492,0.96236,-0.15396,0.99922,0.11139,0.29346,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.20215,1.37261,-0.06923,1.24494,0.12042,1.59288,0.03492,1.55000,0.53913,0.00000
0.20833,0.20833,1.00000,0.602061,0.03859,0.96216,-0.16247,1.01576,0.08384,0.30313,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.20659,1.37226,-0.07117,1.25913,0.12477,1.59261,0.03859,1.55000,0.56042,0.00000
0.21667,0.21667,1.00000,0.618381,0.04238,0.96195,-0.17015,1.03257,0.05666,0.31349,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.21098,1.37197,-0.07226,1.27336,0.12894,1.59237,0.04238,1.55000,0.58150,0.00000
0.22500,0.22500,1.00000,0.633960,0.04628,0.96174,-0.17659,1.04915,0.03083,0.32424,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.21551,1.37172,-0.07227,1.28723,0.13324,1.59214,0.04628,1.55000,0.60223,0.00000
0.23333,0.23333,1.00000,0.649731,0.05027,0.96153,-0.18227,1.06583,0.00479,0.33540,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.22021,1.37139,-0.07132,1.30090,0.13775,1.59187,0.05027,1.55000,0.62251,0.00000
0.24167,0.24167,1.00000,0.664962,0.05434,0.96131,-0.18705,1.08222,-0.02023,0.34690,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.22481,1.37113,-0.06965,1.31413,0.14213,1.59164,0.05434,1.55000,0.64225,0.00000
