t,standX,hipX,hipY,headX,headY,shX,shY,elX,elY,handX,handY,tipX,tipY
0.71667,0.158904,0.158904,0.950493,0.274094,1.578091,0.367571,1.355157,0.168147,1.579162,0.043453,1.351101,0.186836,0.610860
0.73333,0.159125,0.159125,0.950327,0.274770,1.577860,0.369034,1.355191,0.195702,1.599943,0.030986,1.398872,0.035015,0.644884
0.75000,0.159302,0.159302,0.950194,0.275583,1.577626,0.370366,1.355176,0.224463,1.617205,0.024194,1.451517,-0.116672,0.710794
0.76667,0.159444,0.159444,0.950094,0.276140,1.577454,0.371412,1.355182,0.247583,1.628335,0.022037,1.499150,-0.242845,0.793211
0.78333,0.159558,0.159558,0.950029,0.276187,1.577411,0.371932,1.355357,0.264118,1.635219,0.021985,1.540712,-0.344115,0.881558
0.80000,0.159649,0.159649,0.950001,0.276392,1.577366,0.372374,1.355418,0.274824,1.639021,0.022724,1.575732,-0.423410,0.967885
0.81667,0.159721,0.159721,0.950000,0.276465,1.577365,0.372567,1.355484,0.279925,1.640728,0.022536,1.604526,-0.485531,1.047407
0.83333,0.159779,0.159779,0.950000,0.276522,1.577365,0.372625,1.355484,0.277362,1.639863,0.017877,1.624783,-0.533954,1.110977
0.85000,0.159825,0.159825,0.950000,0.276568,1.577365,0.372590,1.355439,0.248131,1.628306,-0.011092,1.609247,-0.554977,1.087038
0.86667,0.159862,0.159862,0.950000,0.276605,1.577365,0.372452,1.355342,0.219763,1.613475,-0.038924,1.588161,-0.570036,1.052966
0.88333,0.159891,0.159891,0.950000,0.276634,1.577365,0.372252,1.355217,0.194071,1.596460,-0.063893,1.564607,-0.581291,1.016143
0.90000,0.159914,0.159914,0.950000,0.276657,1.577365,0.372005,1.355072,0.171378,1.577997,-0.085726,1.539824,-0.589511,0.978829
0.91667,0.159932,0.159932,0.950000,0.276675,1.577365,0.371738,1.354921,0.151707,1.558718,-0.104418,1.514444,-0.594724,0.941632
0.93333,0.159946,0.159946,0.950000,0.276689,1.577365,0.371439,1.354759,0.135158,1.539471,-0.119976,1.489806,-0.598094,0.906782
0.95000,0.159958,0.159958,0.950000,0.276701,1.577365,0.371150,1.354607,0.121410,1.520672,-0.132746,1.466222,-0.599827,0.874319
0.96667,0.159967,0.159967,0.950000,0.276710,1.577365,0.370870,1.354464,0.110272,1.502908,-0.143109,1.444956,-0.601976,0.846662
0.98333,0.159974,0.159974,0.950000,0.276717,1.577365,0.370587,1.354323,0.101478,1.486716,-0.151474,1.426919,-0.605971,0.825299
1.00000,0.159979,0.159979,0.950000,0.276722,1.577365,0.370330,1.354198,0.094639,1.472276,-0.158244,1.412189,-0.612050,0.810048
1.01667,0.159984,0.159984,0.950000,0.276727,1.577365,0.370084,1.354081,0.089659,1.460428,-0.163476,1.401409,-0.619819,0.801189
1.03333,0.159987,0.159987,0.950000,0.276730,1.577365,0.369864,1.353978,0.086123,1.451131,-0.167502,1.394250,-0.628894,0.797902
1.05000,0.159990,0.159990,0.950000,0.276733,1.577365,0.369658,1.353883,0.083791,1.444592,-0.170575,1.391121,-0.639932,0.801021
1.06667,0.159992,0.159992,0.950000,0.276735,1.577365,0.369464,1.353796,0.082338,1.440440,-0.172950,1.391563,-0.652867,0.810018
1.08333,0.159994,0.159994,0.950000,0.276737,1.577365,0.369311,1.353728,0.081529,1.438168,-0.174750,1.394784,-0.667045,0.823680
1.10000,0.159995,0.159995,0.950000,0.276738,1.577365,0.369157,1.353661,0.081150,1.437328,-0.176088,1.400050,-0.681823,0.840812
1.11667,0.159996,0.159996,0.950000,0.276739,1.577365,0.369032,1.353606,0.080992,1.437164,-0.177083,1.406210,-0.696391,0.859553
1.13333,0.159997,0.159997,0.950014,0.276867,1.577351,0.368979,1.353544,0.080908,1.436992,-0.177812,1.411984,-0.709560,0.877420
1.15000,0.159998,0.159998,0.950071,0.276574,1.577463,0.368706,1.353691,0.080411,1.436365,-0.178764,1.416621,-0.721267,0.892975
1.16667,0.159998,0.159998,0.950170,0.276213,1.577624,0.368310,1.353894,0.079732,1.435573,-0.179768,1.420703,-0.732016,0.907343
1.18333,0.159999,0.159999,0.950309,0.275933,1.577806,0.368057,1.354171,0.079137,1.434632,-0.180578,1.424142,-0.741409,0.920174
1.20000,0.159999,0.159999,0.950487,0.275172,1.578115,0.367494,1.354645,0.078146,1.433555,-0.181697,1.426951,-0.750003,0.931427
1.21667,0.159999,0.159999,0.950701,0.274456,1.578454,0.366883,1.355168,0.077056,1.432301,-0.182851,1.429086,-0.757570,0.941015
1.23333,0.159999,0.159999,0.950951,0.273527,1.578858,0.366230,1.355828,0.075906,1.431069,-0.184020,1.430844,-0.764316,0.949418
1.25000,0.159999,0.159999,0.951233,0.272636,1.579284,0.365475,1.356480,0.074695,1.429939,-0.185218,1.432606,-0.770833,0.957663
1.26667,0.160000,0.160000,0.951547,0.271638,1.579755,0.364727,1.357226,0.073446,1.428676,-0.186433,1.433634,-0.776214,0.963875
